record_id,sample_id,source_dataset,source_path,file_name,file_ext,source_subtype_dir,family_label,subtype_label,chmusic_class_id,content_type,normalized_base_name,audio_sha256,audio_fingerprint_id,performer_or_recording_id,recording_group_id,grouping_method,take_id,is_near_duplicate,duplicate_of,duration_sec,sample_rate_hz,channels,bit_depth,integrated_loudness_lufs,rms_db,silence_ratio,clipping_ratio,has_vocal,is_decodable,manual_review_required,manual_review_status,sample_status,drop_reason,applied_rule_ids,notes
ccm_000011,ccm_dizi_0011,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 滑音  第一遍.wav,【A调曲笛】 演奏技法 滑音  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 滑音,dfe19a4023b5342ce1cea95ebda9a870b531e43920263d0d8beb9845c6903c5a,,ccm_dizi_G0011,ccm_dizi_G0011,filename_rule,1,false,,16.265714,44100,2,32,,,0.829538,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000012,ccm_dizi_0012,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 花舌  第一遍.wav,【A调曲笛】 演奏技法 花舌  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 花舌,65a97b0e1e60293e0c630bddac5f0ca626f3976b8fbaf6a9032813ee9eb25a3c,d742eae0d467ecb2a27e759f2f63ab3890af3475b3e83433fafc57583ef4c581,ccm_dizi_G0012,ccm_dizi_G0012,filename_rule,1,false,,24.053152,44100,2,32,,,0.255098,0.0,false,true,false,,keep,,,
ccm_000014,ccm_dizi_0013,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 筒音 自然衰减 力度中强 第一遍.wav,【A调曲笛】 筒音 自然衰减 力度中强 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 筒音 自然衰减 力度中强,3cef96e0d9e6fbe3b2c87b46e3cd287e1f3b6a8bac8ff4bf19c5f4a2778c9a1c,9ebbb12764f36dac1ef924fefc4bedc5b1a29ed0de3c5dc3aeb3425f4b05801a,ccm_dizi_G0013,ccm_dizi_G0013,filename_rule,1,false,,5.924082,44100,2,32,,,0.216949,0.0,false,true,false,,keep,,,
ccm_000013,ccm_dizi_0014,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 筒音 自然衰减  力度弱 第二遍.wav,【A调曲笛】 筒音 自然衰减  力度弱 第二遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 筒音 自然衰减 力度弱,f0c7ddf1d21b2ff9a93fcf392c77d240176b495230053bf70c4e187f213527e5,,ccm_dizi_G0014,ccm_dizi_G0014,filename_rule,2,false,,5.766349,44100,2,32,,,1.0,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000015,ccm_dizi_0015,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 筒音 自然衰减 力度强 第二遍.wav,【A调曲笛】 筒音 自然衰减 力度强 第二遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 筒音 自然衰减 力度强,3372c21528cc7fa9fe3f081b790b0c9f32f6bd8bb58dafb75308ec235e222f4d,,ccm_dizi_G0015,ccm_dizi_G0015,filename_rule,2,false,,5.766349,44100,2,32,,,0.954783,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000016,ccm_dizi_0016,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 自然衰减 力度中强 第二遍.wav,【A调曲笛】 音阶 自然衰减 力度中强 第二遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 音阶 自然衰减 力度中强,062eef2b2b0fb3c06311028d078cd828efb131d887df61b67064d204b74ac035,f3a6f79f2f8e33bdd79e28bbd692bdce8d6f038964df8668e4575479e11bcb40,ccm_dizi_G0016,ccm_dizi_G0016,filename_rule,2,false,,44.840567,44100,2,32,,,0.32307,0.0,false,true,false,,keep,,,
ccm_000017,ccm_dizi_0017,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 速度慢 力度中强 第一遍.wav,【A调曲笛】 音阶 速度慢 力度中强 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 音阶 速度慢 力度中强,f382a458451ef404f1febc9239d7f0e513fb8f2f387ceb677bf194649a224e16,a663af1183240634d24a0c9887737cf2bca8ed53cb29b1ae087cae9bd4c77f00,ccm_dizi_G0017,ccm_dizi_G0017,filename_rule,1,false,,26.0,44100,2,32,,,0.543495,0.0,false,true,false,,keep,,,
ccm_000018,ccm_dizi_0018,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 速度慢 力度弱 第一遍.wav,【A调曲笛】 音阶 速度慢 力度弱 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 音阶 速度慢 力度弱,cae23d8cd87889c173181c23db709c32d6900295727e74e93ba94108f3e8046d,,ccm_dizi_G0018,ccm_dizi_G0018,filename_rule,1,false,,24.231066,44100,2,32,,,0.728625,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000019,ccm_dizi_0019,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 速度慢 力度强 第一遍.wav,【A调曲笛】 音阶 速度慢 力度强 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 音阶 速度慢 力度强,423ae876904102e901e14c1b205130d47a405a7d6ebda890372992a1a822f403,abf5ea48c0326e74f2402f4c18032975966307458cdfbba1da9bca02c7986cc1,ccm_dizi_G0019,ccm_dizi_G0019,filename_rule,1,false,,25.330113,44100,2,32,,,0.501778,0.0,false,true,false,,keep,,,
ccm_000060,ccm_dizi_0020,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 三吐 中强力度 第一遍.wav,【G调梆笛】演奏技法 三吐 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 三吐 中强力度,8406b7a97874f690776fc12beab0d7c1fb4badfffe1448b4901a243ceccfd411,28175460497efc2bd976a12eb2c2c5bbcd1837ea04716680601c1739d6e88ea8,ccm_dizi_G0020,ccm_dizi_G0020,filename_rule,1,true,,11.437687,48000,1,16,,,0.532399,0.0,false,true,false,,keep,,,
ccm_000061,ccm_dizi_0021,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 三吐 中强力度 第二遍.wav,【G调梆笛】演奏技法 三吐 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 三吐 中强力度,3060cf6b017ad6416acdad1c9e506c6dceed41e99eab9bdbc95ac0a22bfd9564,bbcec465a2207a375c18cc3e0238df876d7e8ad91b31301d8d2a5214dd9d10fd,ccm_dizi_G0020,ccm_dizi_G0020,filename_rule,2,true,,11.567167,48000,1,16,,,0.55671,0.000007,false,true,false,,keep,,,
ccm_000062,ccm_dizi_0022,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 上历音 中强力度 第一遍.wav,【G调梆笛】演奏技法 上历音 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 上历音 中强力度,8b1676bd4880384a4a8021773a244aeaf1ea8ad2055305a60879b6be259ccab5,d8d344df87a5f28d66bbcd96216b1700f80edeb526e256fcb9ce4c23c12dbee2,ccm_dizi_G0021,ccm_dizi_G0021,filename_rule,1,true,,10.892521,48000,1,16,,,0.49678,0.0,false,true,false,,keep,,,
ccm_000063,ccm_dizi_0023,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 上历音 中强力度 第二遍.wav,【G调梆笛】演奏技法 上历音 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 上历音 中强力度,00eae16dedc71a1bb75f6ff56389f1a0874b4c5439f12101393bb723cc2a8c33,89cb1ba1aa276ec705e63faaa7cec2b7c15ebe75f93792a56214d5affb1a5b19,ccm_dizi_G0021,ccm_dizi_G0021,filename_rule,2,true,,13.126667,48000,1,16,,,0.468345,0.0,false,true,false,,keep,,,
ccm_000064,ccm_dizi_0024,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 下历音 中强力度 第一遍.wav,【G调梆笛】演奏技法 下历音 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 下历音 中强力度,43319f4c1a40aa9535d41aed7fab9c79905a8e2e9ad935e204c31b3a9b7453cf,,ccm_dizi_G0022,ccm_dizi_G0022,filename_rule,1,true,,9.332604,48000,1,16,,,0.704619,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000065,ccm_dizi_0025,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 下历音 中强力度 第二遍.wav,【G调梆笛】演奏技法 下历音 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 下历音 中强力度,bdaa01caa0962806c719fcb0392413351847928f2e1980a4390fe5af272b8a14,8771a5d6816b23aab4e394bddcd24a9af4602828e32423ddb4b9d561971709e9,ccm_dizi_G0022,ccm_dizi_G0022,filename_rule,2,true,,9.446312,48000,1,16,,,0.68929,0.0,false,true,false,,keep,,,
ccm_000066,ccm_dizi_0026,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 下滑音 中强力度 第一遍.wav,【G调梆笛】演奏技法 下滑音 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 下滑音 中强力度,a8423f0cc6be7a19200a3e9ab90e95a174bd2aea5869c818d24ba05b744f2dee,1b81d6c297c5ef1c25577df29c932db40030edc159dff55c64942d77706e6bd0,ccm_dizi_G0023,ccm_dizi_G0023,filename_rule,1,true,,20.928979,48000,1,16,,,0.472501,0.0,false,true,false,,keep,,,
ccm_000067,ccm_dizi_0027,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 下滑音 中强力度 第二遍.wav,【G调梆笛】演奏技法 下滑音 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 下滑音 中强力度,57cf2796df408a2de964a708b4a8560c590e05db3b43122ae34cf84f9757eb3f,db54963e4ac553e620ebb58f242b6b190b8ded6868fc941d63339ca8ef9d5987,ccm_dizi_G0023,ccm_dizi_G0023,filename_rule,2,true,,20.000875,48000,1,16,,,0.425425,0.0,false,true,false,,keep,,,
ccm_000068,ccm_dizi_0028,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 剁音 中强力度 第一遍.wav,【G调梆笛】演奏技法 剁音 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 剁音 中强力度,9d55f0fc7328d60599d87cb5aff70c18f48ceb147881ec50cf1e5ddf4f03c798,,ccm_dizi_G0024,ccm_dizi_G0024,filename_rule,1,true,,6.485563,48000,1,16,,,0.808346,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000069,ccm_dizi_0029,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 剁音 中强力度 第二遍.wav,【G调梆笛】演奏技法 剁音 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 剁音 中强力度,b318234950b49613a1b9b8048d616908205694584c7ca104d6d4a1931fe6c6a4,,ccm_dizi_G0024,ccm_dizi_G0024,filename_rule,2,true,,6.982708,48000,1,16,,,0.806034,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000070,ccm_dizi_0030,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 单吐 中强力度 第一遍.wav,【G调梆笛】演奏技法 单吐 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 单吐 中强力度,9dc813dbbed54ab0d9f27e336b0c9e446fa933e1ab522171e9403d4a57b3f9ef,a25f3722f5695e0e9624298ecb4a7d75cdf2e9010c2f98a70c4126a34444e62f,ccm_dizi_G0025,ccm_dizi_G0025,filename_rule,1,true,,5.704521,48000,1,16,,,0.463028,0.0,false,true,false,,keep,,,
ccm_000071,ccm_dizi_0031,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 单吐 中强力度 第二遍.wav,【G调梆笛】演奏技法 单吐 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 单吐 中强力度,9e66d302dde7b0bdc1f39f18fa3403cff4ba639956e98912003725d84dd22b8b,b004f9d6fad93dd22a56e8e67d956440f9f0ebeafdb81bab23b22d4b59f3267b,ccm_dizi_G0025,ccm_dizi_G0025,filename_rule,2,true,,6.348271,48000,1,16,,,0.549763,0.0,false,true,false,,keep,,,
ccm_000072,ccm_dizi_0032,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 双吐 中强力度 第一遍.wav,【G调梆笛】演奏技法 双吐 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 双吐 中强力度,586691bd5df4475a95d21d1d537a46430116ea707a47776e1ee38a6d457ffcc3,2df8c4c45d0823b07f96a0ce8006e2b02948cae2baf9fff4602b02f1cf89d35a,ccm_dizi_G0026,ccm_dizi_G0026,filename_rule,1,true,,4.494458,48000,1,16,,,0.438479,0.0,false,true,false,,keep,,,
ccm_000073,ccm_dizi_0033,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 双吐 中强力度 第二遍.wav,【G调梆笛】演奏技法 双吐 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 双吐 中强力度,061c98656b8811cc5a59f376f134b0dc9315377e195412c79dab1540e7405e75,2cc75c2a668f2c2ae7f467063470f96db8d02a77610fbba269f217bb8f0731d9,ccm_dizi_G0026,ccm_dizi_G0026,filename_rule,2,true,,4.348917,48000,1,16,,,0.424942,0.0,false,true,false,,keep,,,
ccm_000074,ccm_dizi_0034,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 循环换气 中强力度 第一遍.wav,【G调梆笛】演奏技法 循环换气 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 循环换气 中强力度,b1331bd15518af49e8f7719a8143d3bff8acba4b85f5337f32e5b1138acad04c,09d1f7d4649df4a5d1b5d574bd1dd0192b3b383b372cd0b3d3c5a5fb88a1aa93,ccm_dizi_G0027,ccm_dizi_G0027,filename_rule,1,true,,27.637896,48000,1,16,,,0.052136,0.0,false,true,false,,keep,,,
ccm_000075,ccm_dizi_0035,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 循环换气 中强力度 第二遍.wav,【G调梆笛】演奏技法 循环换气 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 循环换气 中强力度,cf1c358dd2cecdf2115290c45f7257e7102297d745d243cfcf81de4061b1df0f,5bc5ae19635e0230d15e76308a2b1d8359c270aeb292da18a6be1161de47ec8d,ccm_dizi_G0027,ccm_dizi_G0027,filename_rule,2,true,,24.448937,48000,1,16,,,0.05526,0.0,false,true,false,,keep,,,
ccm_000076,ccm_dizi_0036,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 指颤音 中强力度 第一遍.wav,【G调梆笛】演奏技法 指颤音 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 指颤音 中强力度,61fa153ca9339fba8728ef5b66da1054380d21047bbd7e55f20b28afee00a42f,b3707abf188de313a5c2e479223b90fa6066af90e8d738107b1a636eb1f3f184,ccm_dizi_G0028,ccm_dizi_G0028,filename_rule,1,true,,18.584583,48000,1,16,,,0.368534,0.0,false,true,false,,keep,,,
ccm_000077,ccm_dizi_0037,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 指颤音 中强力度 第二遍.wav,【G调梆笛】演奏技法 指颤音 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 指颤音 中强力度,feaf4bb04ef984dfad3c8198cdcee8e6458753a7b84ab52c3cb826dc73c773c9,c532310695ad94b09536dc69f48ef254b354dcb976fc6ff81c320ac726ae003b,ccm_dizi_G0028,ccm_dizi_G0028,filename_rule,2,true,,17.975729,48000,1,16,,,0.353563,0.0,false,true,false,,keep,,,
ccm_000078,ccm_dizi_0038,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 气颤音 中强力度 第一遍.wav,【G调梆笛】演奏技法 气颤音 中强力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 气颤音 中强力度,d335cdb62cf059c6feca82e6f9c174301192beef5b68201b0e4058e78b1c3ac1,c1caafadd13eb02b538632bd12c18b4f80da704ca22e988cf2d3211c0219a461,ccm_dizi_G0029,ccm_dizi_G0029,filename_rule,1,true,,31.087187,48000,1,16,,,0.238172,0.0,false,true,false,,keep,,,
ccm_000079,ccm_dizi_0039,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 气颤音 中强力度 第二遍.wav,【G调梆笛】演奏技法 气颤音 中强力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 气颤音 中强力度,296eb344cebe26ef3196b05238b8ed512f92568059efc4ba473f1cfc6a3e1683,b08d50775383b681050f605d28af9877775ba5950a2c683f5f74833a12ea6ff6,ccm_dizi_G0029,ccm_dizi_G0029,filename_rule,2,true,,115.480104,48000,1,16,,,0.366274,0.0,false,true,false,,keep,,,
ccm_000080,ccm_dizi_0040,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 气颤音 弱奏力度 第一遍.wav,【G调梆笛】演奏技法 气颤音 弱奏力度 第一遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 气颤音 弱奏力度,0b792fea794f9ef6199bc1a41d34db10f5d34c3fc4506ecab3843c6470179f4e,5c2aad3de38997457161b7e087c0f8113c689c5600d5e0453a63e0eb3d1608c6,ccm_dizi_G0030,ccm_dizi_G0030,filename_rule,1,true,,33.622208,48000,1,16,,,0.256548,0.0,false,true,false,,keep,,,
ccm_000081,ccm_dizi_0041,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/G调梆笛/【G调梆笛】演奏技法 气颤音 弱奏力度 第二遍.wav,【G调梆笛】演奏技法 气颤音 弱奏力度 第二遍.wav,.wav,G调梆笛,笛子,G调梆笛,-1,technique,【G调梆笛】演奏技法 气颤音 弱奏力度,355abbbeb88f4f6f732436a9566a0e16a524ae7947f6c8b24a3019d34291d4c5,b500a39901e26000e934e78bd84310bf6ec44c9c26f1a07c0787c9b81bb9a265,ccm_dizi_G0030,ccm_dizi_G0030,filename_rule,2,true,,36.573167,48000,1,16,,,0.321477,0.0,false,true,false,,keep,,,
